advice	advise
beak	beep
beam	beep
bee	beep
beep	bleep
blend	blender
blah	blob
black	block
blah	block
blob	block
beyond	blonde
blend	blonde
bleed	bleep
bleed	blood
alone	blown
blah	blue
blue	bloom
bear	berry
belly	berry
berry	barely
barred	barge
boat	boast
anchor	anger
anchor	banker
ale	bail
babe	bail
bail	base
bail	bathe
bay	bail
bill	bail
birdie	body
body	bodied
bar	bomb
beam	bomb
banned	bond
barred	bond
bond	beyond
bond	blonde
angle	ankle
boat	bone
bone	blown
bone	bones
back	book
beak	book
bind	binder
blob	blurb
beam	boom
bomb	boom
boom	bloom
back	bam
bad	bam
bag	bam
bam	bang
bam	bass
bam	bat
bam	bath
bam	beam
bam	bomb
bam	boom
beast	boost
best	boost
boogie	booty
booty	beauty
boom	booze
barred	bored
beard	bored
bearing	boring
banned	bland
bland	blend
bland	blonde
ball	bore
bar	bore
bear	bore
beer	bore
bore	bored
babe	beige
bail	beige
base	beige
bathe	beige
bay	beige
barn	born
bore	born
bored	born
ball	boss
bass	boss
bore	boss
boss	bossy
bother	bothered
beetle	bottle
bottle	bottom
be	beef
beak	beef
beam	beef
bee	beef
beef	beep
bounce	bouncy
bored	border
basin	bison
boat	bowl
bone	bowl
ball	boy
bay	boy
bore	boy
boss	boy
blah	bra
bad	bead
be	bead
bead	beads
bead	beak
bead	beam
bead	bed
bee	bead
bead	beef
bead	beep
bead	bid
bead	bird
bead	bleed
bag	brag
brag	brash
bowl	bold
bass	brass
brag	brass
brash	brass
and	band
bad	band
band	bland
band	bond
brain	brave
ball	brawl
babe	bake
bail	bake
bake	base
bake	bathe
bay	bake
bake	beige
bake	bike
bed	bread
baking	bathing
basket	biscuit
bake	baker
baker	bakery
band	bend
banned	bend
bed	bend
bend	bent
bend	blend
bend	bond
bake	break
brain	break
brave	break
beach	breach
bacon	basin
baking	breaking
best	breast
boob	boom
boob	booze
apple	ample
bread	breath
breathe	breeze
air	airy
airy	any
airy	berry
breeze	breezy
blue	brew
bra	brew
bake	brick
bike	brick
brick	break
beef	brief
breathe	brief
breeze	brief
brief	briefs
bite	bright
bride	bright
brilliance	brilliant
brawl	broil
bail	boil
ball	boil
bill	boil
boy	boil
boil	broil
broke	broker
aid	age
aide	age
book	brook
brick	brook
brook	broke
brawl	broth
breath	broth
being	bring
brick	bring
bring	bearing
bring	boring
brown	browse
booze	bruise
breeze	bruise
brew	bruise
branch	brunch
beyond	blond
bland	blond
blend	blond
bond	blond
bristle	brittle
brash	brush
babble	bubble
blow	below
blow	blown
babbling	bubbling
bell	belt
belle	belt
belly	belt
belt	bent
belt	best
bubble	buckle
bad	bud
bead	bud
bed	bud
bid	bud
bird	bud
bud	blood
bag	bug
beg	bug
big	bug
bud	bug
beard	build
bid	build
bill	build
belt	built
bill	built
bit	built
build	built
bulk	bulky
ammo	arrow
ballot	bullet
barred	board
beard	board
board	border
bore	board
board	born
belly	bully
bam	bum
beam	bum
bomb	bum
boom	bum
bud	bum
bug	bum
bubble	bumble
bud	bun
bug	bun
bum	bun
bunch	brunch
bank	bunk
bulk	bunk
bun	buns
bigger	burger
burger	burglar
bird	burn
birth	burn
bun	burn
burn	auburn
bent	burnt
burn	burnt
beep	burp
bird	burp
birth	burp
burn	burp
belt	belch
beast	burst
best	burst
boost	burst
burnt	burst
beast	bust
best	bust
boost	bust
burst	bust
bubble	bustle
buckle	bustle
also	although
bat	but
bit	but
bud	but
bug	but
bum	but
bun	but
but	bust
bat	butt
bit	butt
bud	butt
bug	butt
bum	butt
bun	butt
butt	bust
able	anal
batter	butter
better	butter
bitter	butter
but	butter
butt	butter
bay	buy
bow	buy
boy	buy
buy	bike
buy	bite
booze	buzz
bud	buzz
bug	buzz
bum	buzz
bun	buzz
but	buzz
butt	buzz
buzz	buns
butter	buzzer
buzz	buzzer
bay	by
bow	by
boy	by
by	bike
by	bite
bike	byte
bit	byte
buy	byte
by	byte
byte	bright
age	cage
bar	bars
bark	bars
barn	bars
barred	bars
bake	cake
brown	brownie
calculate	calculator
all	call
ball	call
an	can
calf	can
answer	cancer
candid	candle
cake	cane
anew	canoe
calf	cap
can	cap
cap	camp
bass	bus
boss	bus
bud	bus
bug	bus
bum	bus
bun	bus
bus	bust
bus	but
bus	butt
bus	buzz
are	car
bar	car
able	cable
bake	brake
brain	brake
brake	brave
brick	brake
boogie	buggy
bug	buggy
cab	calf
cab	can
cab	cap
barred	card
car	card
ace	aid
ace	aide
ace	aim
ace	ale
ace	ape
ace	base
card	cards
aware	beware
bearing	caring
barrier	carrier
carry	carrier
art	cart
car	cart
card	cart
carbon	carton
carton	cartoon
animal	animate
ace	case
base	case
cake	case
cane	case
basket	casket
camel	castle
bat	cat
cab	cat
calf	cat
can	cat
cap	cat
cat	cast
bind	blind
cat	catch
catch	catcher
catcher	capture
car	cause
cake	cave
cane	cave
case	cave
bass	bats
bat	bats
bats	batter
bell	cell
belle	cell
cell	cellar
berry	buried
bomb	calm
calm	car
calm	cause
balance	balanced
censor	center
center	centered
brag	bran
bran	brash
bran	brass
bold	bowls
bones	bowls
bowl	bowls
brain	brainy
certainly	certainty
belch	bench
bent	bench
bench	bunch
adapt	adept
adapt	adopt
case	chaos
blow	bloke
bloke	blown
bloke	broke
charge	charged
band	burned
banned	burned
bend	burned
bird	burned
bond	burned
burn	burned
burned	burnt
charm	chart
cannon	canyon
canon	canyon
chatter	chapter
chatter	chatty
chap	cheap
cheap	cheat
afar	affair
affair	affairs
affair	aware
chair	check
chalk	check
checkered	checkers
chalk	cheek
cheap	cheek
cheat	cheek
check	cheek
blood	blush
blush	brush
chair	cheer
cheer	cheers
cheap	cheese
cheat	cheese
cheek	cheese
cheat	cheetah
beak	beaker
beaker	beaver
chair	cherry
chair	chess
check	chess
chess	chest
chew	chewy
chalk	chick
check	chick
cheek	chick
cheer	chick
cheap	chief
cheat	chief
cheek	chief
cheese	chief
bat	brat
brag	brat
bran	brat
brash	brat
brass	brat
barrel	barren
cheer	chin
chick	chin
chap	chip
cheap	chip
cheer	chip
chick	chip
chin	chip
chip	chimp
chip	chips
chap	chirp
cheap	chirp
chip	chirp
beach	bleach
bleach	breach
chase	choice
choir	acquire
chimp	chomp
cheese	choose
chew	choose
chewy	choose
act	axe
ass	axe
chalk	chop
chap	chop
cheap	chop
chip	chop
chirp	chop
chop	chomp
act	ax
ass	ax
chair	chore
cheer	chore
cautious	chorus
choral	chorus
browse	browser
blaring	blessing
abbey	alley
be	abbey
bee	abbey
aisle	ale
aisle	bill
censor	centre
centre	centered
circa	circle
are	arc
arc	arm
arc	art
arc	bark
baker	breaker
brake	breaker
break	breaker
circa	circuit
circle	circuit
circa	circus
circle	circus
circuit	circus
blame	claim
cap	clap
clam	clap
clam	clash
clap	clash
clam	class
clap	class
clash	class
classic	classics
clay	claim
ceramic	ceramics
bloom	broom
boom	broom
brew	broom
broom	bruise
cleanse	cleanser
career	clear
clef	cleft
cleaver	clever
cake	click
clear	click
black	clack
clack	clam
clack	clap
clack	clash
clack	class
clack	click
blood	bluff
bluff	blush
clear	cliff
clef	cliff
click	cliff
amend	ascend
claim	climb
ascend	ascent
bloke	cloak
ape	cape
cake	cape
cane	cape
cape	case
cape	cave
block	clock
clack	clock
click	clock
cloak	close
claw	cloth
clack	cluck
click	cluck
clock	cluck
club	cluck
bowl	coal
boast	coast
boat	coat
coal	coat
coat	coach
coat	coast
calm	cock
car	cock
cause	cock
cock	clock
cock	cocky
be	bean
bead	bean
beak	bean
beam	bean
bee	bean
bean	beef
bean	beep
bean	bun
bean	burn
calm	cod
car	cod
cause	cod
cock	cod
cod	card
coal	code
coat	code
cider	cipher
cocky	coffee
brick	brim
brim	bring
brim	broom
bent	cent
cent	ascent
cent	center
cent	centre
cane	coin
coin	coffin
ash	cash
cab	cash
calf	cash
can	cash
cap	cash
cash	cat
cash	catch
cash	clash
coal	coke
coat	coke
code	coke
coke	cloak
coal	cola
bold	cold
coal	cold
code	cold
cola	cold
cheer	chill
chick	chill
chill	chili
chill	chin
chill	chip
chill	chilly
beak	bleak
black	bleak
bleak	bleed
bleak	bleep
bleak	block
brick	brisk
clam	clammy
collar	cobbler
bum	bump
bump	bumper
alone	cologne
cola	colon
collar	color
color	colored
color	colors
colored	colors
coal	comb
coat	comb
code	comb
coke	comb
comb	chrome
babble	battle
barrel	battle
battle	beetle
battle	bottle
bum	come
calm	come
arise	arrive
allure	assure
comfort	comforter
command	commander
caution	common
comet	common
air	care
bear	care
car	care
competence	competent
beach	bitch
birch	bitch
bit	bitch
bitch	bitter
car	carp
card	carp
carp	cart
commute	compute
compute	computer
birdie	buddy
body	buddy
bud	buddy
buddy	buggy
calm	con
can	con
car	con
cause	con
cock	con
cod	con
concede	conceive
concern	concerned
conduct	conductor
assure	assured
babble	baffle
baffle	barrel
baffle	battle
confuse	confused
collect	connect
collected	connected
boa	boat
boa	bone
boa	bowl
constrict	constrictor
constrict	construct
build	builder
bike	buyer
bite	buyer
buy	buyer
by	buyer
buyer	byte
contain	container
bean	bin
beer	bin
bid	bin
big	bin
bill	bin
bin	bit
bin	bun
bin	burn
content	contents
content	contest
contact	contract
claw	clause
clause	cloth
contract	contractor
contract	contrast
chap	chat
chat	chatter
chat	chatty
chat	cheat
concert	convert
converse	convert
book	cook
cock	cook
cook	coke
boil	boiled
build	boiled
cook	cooked
cook	cooker
cooked	cooker
cocky	cookie
cook	cookie
cooked	cookie
cooker	cookie
call	cool
collar	cooler
color	cooler
cool	cooler
calling	cooling
collar	copper
cocky	copy
coffee	copy
copper	copy
alone	clone
blown	clone
cloak	clone
clone	close
clone	clown
clone	cologne
chatter	cheater
cheat	cheater
cheater	cheetah
chorus	coral
board	cord
bored	cord
card	cord
cord	accord
bore	core
call	core
car	core
care	core
core	cord
cord	cork
core	cork
born	corn
coin	corn
cord	corn
core	corn
cork	corn
cab	cob
calm	cob
car	cob
cause	cob
cob	cock
cob	cod
cob	con
corn	corner
cheese	cheesy
corn	corny
corner	corny
corporal	corporate
bore	corps
call	corps
car	corps
care	corps
corps	cord
corps	cork
corps	corn
chorus	corpse
cart	cost
cast	cost
calm	cot
car	cot
cat	cot
cause	cot
cob	cot
cock	cot
cod	cot
con	cot
cot	cart
cot	cost
caution	cotton
common	cotton
cotton	carton
coach	couch
cooler	cougar
calf	cough
calm	cough
car	cough
cause	cough
cob	cough
cock	cough
cod	cough
con	cough
cot	cough
cough	coffee
advise	advisor
council	counselor
counsel	counselor
count	account
count	counter
counting	accounting
count	county
counter	county
airy	area
cape	clip
clap	clip
clear	clip
click	clip
cliff	clip
clip	clipper
cord	course
core	course
cork	course
corn	course
corps	course
course	chorus
course	corpse
cart	court
cord	court
core	court
cork	court
corn	court
corps	court
course	court
coal	cove
coat	cove
code	cove
coke	cove
comb	cove
color	cover
cloak	clothe
clone	clothe
close	clothe
clothe	clothes
conceal	concede
conceal	conceive
colored	covered
cover	covered
coating	coding
battle	cattle
camel	cattle
castle	cattle
bow	cow
ball	bull
bell	bull
belle	bull
bill	bull
book	bull
bull	bowl
bull	bully
beef	beefy
arouse	cows
cow	cows
cab	crab
crab	crabby
clack	crack
crab	crack
crack	cracked
crack	cracker
cracked	cracker
cracker	crackers
cracked	craft
arch	arts
art	arts
craft	crafty
crabby	craggy
brain	crane
cane	crane
crabby	cranny
craggy	cranny
cap	crap
clap	crap
crab	crap
crack	crap
brash	crash
cash	crash
clash	crash
crab	crash
crack	crash
crap	crash
crane	crate
brave	crave
cave	crave
crane	crave
crate	crave
brawl	crawl
call	crawl
calling	crawling
crane	crayon
crazed	crazy
battery	buttery
butter	buttery
cream	creamy
crate	create
create	creator
cream	creed
crack	creek
cream	creek
creed	creek
crap	creep
cream	creep
creed	creep
creek	creep
create	cremate
airy	bury
bear	bury
belly	bury
bury	barely
bury	buried
creation	cremation
breast	crest
brew	crew
crab	crib
commit	committee
climb	crime
burglar	burglary
crisp	crispy
brook	crook
coke	crook
cook	crook
crack	crook
creek	crook
crap	crop
creep	crop
crawl	cross
cross	across
crawling	crossing
couch	crouch
arrow	crow
crow	chrome
brass	crass
class	crass
crab	crass
crack	crass
crap	crass
crash	crass
crass	cross
creed	crude
crew	crude
cruel	crucial
bruise	cruise
crew	cruise
crude	cruise
come	crumb
cream	crumb
creamy	crummy
crumb	crummy
brunch	crunch
cellar	celery
crest	crust
crushed	crust
crust	crusty
clutch	crutch
crutch	crunch
cripple	crippled
cry	crime
cab	cub
cob	cub
come	cub
cub	club
crew	cue
cue	cube
coming	cunning
cap	cup
come	cup
cub	cup
coast	coaster
colored	cupboard
covered	cupboard
carry	curry
cotton	curtain
curve	curved
caution	cushion
cookie	cushy
bus	cuss
come	cuss
cub	cuss
cup	cuss
curse	curve
curse	cuss
customer	customs
but	cut
butt	cut
cat	cut
come	cut
cot	cut
cub	cut
cup	cut
cuss	cut
blade	blame
clean	cleave
cleave	cleaver
buddy	bunny
buggy	bunny
bun	bunny
bunny	buns
cube	cute
cue	cute
cute	acute
cyst	assist
ad	dad
add	dad
bad	dad
dad	daddy
airy	dairy
berry	dairy
bury	dairy
chain	chase
chin	chain
bam	dam
dad	dam
bam	damn
dad	damn
camp	damp
dam	damp
damn	damp
answer	dancer
cancer	dancer
dance	dancer
candy	dandy
daddy	dandy
air	dare
bear	dare
care	dare
dare	dairy
bearing	daring
caring	daring
arc	dark
bark	dark
creamy	creepy
creep	creepy
barn	darn
dark	darn
art	dart
cart	dart
dark	dart
darn	dart
beta	data
date	data
bay	day
day	date
date	daze
day	daze
daze	daisy
bed	dead
dad	dead
dare	dead
chef	deaf
dare	deaf
dead	deaf
coal	cope
coat	cope
code	cope
coke	cope
comb	cope
cope	cove
deal	dealer
beer	dear
dare	dear
dare	death
dead	death
deaf	death
aroma	coma
cola	coma
comb	coma
dare	debt
dead	debt
deaf	debt
death	debt
deceit	deceased
deceit	deceive
aside	decide
beside	decide
dare	deck
dead	deck
deaf	deck
death	deck
debt	deck
bead	deed
dad	deed
dead	deed
deal	deed
beep	deep
deal	deep
deed	deep
beer	deer
dare	deer
back	buck
beak	buck
book	buck
buck	bud
buck	bug
buck	bulk
buck	bum
buck	bun
buck	bunk
buck	bus
buck	but
buck	butt
buck	buzz
deceit	defeat
bat	beat
be	beat
bead	beat
beak	beat
beam	beat
bean	beat
beat	beach
beat	beast
bee	beat
beat	beef
beat	beep
beat	bit
beat	but
beat	butt
beaten	beetle
beaten	button
deficit	definite
certain	curtain
account	amount
deceit	delete
defeat	delete
cancel	candle
castle	cancel
deliver	delivery
demean	demeanor
dare	den
dawn	den
dead	den
deaf	den
death	den
debt	den
deck	den
bent	dent
cent	dent
debt	dent
den	dent
apart	depart
apartment	department
death	depth
bread	breadth
breath	breadth
abandon	abandoned
ascend	descend
defend	descend
acid	arid
arid	acrid
define	design
design	designer
design	desire
desire	designer
assist	desist
deceased	desist
deck	desk
clack	clerk
clerk	click
clerk	clock
clerk	cluck
desert	dessert
destroy	destroyed
attain	detain
blue	clue
claw	clue
clue	crew
clue	cue
daughter	deter
annoyed	avoid
detect	detest
despise	despite
consume	consumer
devour	devout
ascent	accent
daily	daisy
dear	dick
deck	dick
deer	dick
dictate	dictator
buy	die
by	die
day	die
die	dice
broke	croak
chrome	croak
cloak	croak
coke	croak
crook	croak
crow	croak
dial	diet
difference	different
alike	alive
blow	burrow
big	dig
dear	dig
deer	dig
dick	dig
aim	dim
dam	dim
damn	dim
dear	dim
deer	dim
dick	dim
dig	dim
dice	dime
die	dime
dim	dime
differ	dinner
dice	dine
die	dine
dime	dine
diaper	diner
dine	diner
dinner	diner
ape	dip
dear	dip
deep	dip
deer	dip
dick	dip
dig	dip
dim	dip
dear	dire
deer	dire
dice	dire
die	dire
dime	dire
dine	dire
campus	compass
debt	dirt
dirt	dirty
disable	disabled
bum	bummer
bummer	bump
bummer	bumper
bummer	butter
bummer	buzzer
desk	disc
dick	disc
discord	discourse
discover	discovery
channel	chapel
concur	confer
confer	confirm
despise	disguise
dear	dish
deer	dish
dick	dish
dig	dish
dim	dish
dip	dish
dishonest	dishonesty
desk	disk
dick	disk
disarray	dismay
disprove	disapprove
distance	distant
dazzle	damsel
disturb	disturbed
bitch	ditch
dish	ditch
arrive	dive
dice	dive
die	dive
dime	dive
dine	dive
dire	dive
diverse	divert
distract	district
device	divide
conquer	conqueror
divide	divider
cock	dock
deck	dock
dick	dock
dock	dark
dawn	dog
dig	dog
bead	breed
bleed	breed
bread	breed
breathe	breed
breed	breeze
breed	brief
breed	buried
breed	creed
box	boxer
boxer	boxers
beach	butch
birch	butch
bitch	butch
butch	butcher
beagle	beetle
deal	doll
dock	doll
collar	dollar
dealer	dollar
doll	dollar
comb	dome
doe	dome
control	controller
bun	done
dawn	done
den	done
accomplish	accomplished
boom	doom
dam	doom
damn	doom
dew	doom
dim	doom
do	doom
bore	door
core	door
corps	door
dare	door
dawn	door
dear	door
deer	door
dog	door
closing	clothing
crack	creak
creak	cream
creak	creed
creak	creep
creak	crook
cope	dope
doe	dope
dome	dope
door	dorm
cot	dot
debt	dot
dirt	dot
dock	dot
doll	dot
dot	dart
dough	dome
dough	dope
done	dove
dine	down
ascent	descent
descend	descent
diner	downer
donor	downer
down	downer
cousin	dozen
crab	drab
craft	draft
daft	draft
brain	drain
crane	drain
clock	clog
drain	drape
door	drawer
draw	drawer
drawer	drawers
dawn	drawn
draw	drawn
drawer	drawn
cream	dream
creamy	dreamy
dream	dreamy
breast	dressed
crest	dressed
dress	dressed
closed	clothed
clothe	clothed
clothed	clothes
dress	dresser
dressed	dresser
dress	dressy
dressed	dressy
dresser	dressy
draft	drift
chase	chaser
dive	drive
drive	driver
diving	driving
drill	drool
crop	drop
dip	drip
drill	drip
drip	drape
drip	drop
drone	drove
brown	drown
down	drown
drone	drown
drought	drown
bang	bong
bar	bong
bomb	bong
crumb	drum
dream	drum
drug	drum
drum	drummer
drink	drunk
cry	dry
die	dry
dry	drive
drive	dryer
dry	dryer
dryer	driver
dual	doodle
bubble	double
buck	duck
deck	duck
dick	duck
dock	duck
done	duck
dove	duck
duck	duct
dad	dude
dead	dude
deed	dude
dew	dude
do	dude
doom	dude
due	doom
due	dude
duel	doodle
bug	dug
dig	dug
dog	dug
done	dug
dove	dug
duck	dug
dug	drug
deck	duke
dew	duke
dick	duke
do	duke
dock	duke
doom	duke
duck	duke
dude	duke
due	duke
deal	dull
doll	dull
done	dull
dove	dull
duck	dull
dug	dull
bum	dumb
come	dumb
dam	dumb
damn	dumb
dim	dumb
done	dumb
doom	dumb
dove	dumb
duck	dumb
dug	dumb
dull	dumb
dumb	drum
dance	dense
den	dense
dense	dent
dope	dopey
dumb	dummy
dawn	dune
den	dune
dew	dune
do	dune
done	dune
doom	dune
dude	dune
due	dune
duke	dune
done	dung
dove	dung
duck	dung
dug	dung
dull	dung
dumb	dung
bank	dank
bunk	dunk
dank	dunk
duck	dunk
dung	dunk
dunk	drunk
doe	duo
dough	duo
debt	duet
deep	dupe
dew	dupe
dip	dupe
do	dupe
doom	dupe
dude	dupe
due	dupe
duke	dupe
dune	dupe
daring	during
desk	dusk
disc	dusk
disk	dusk
duck	dusk
dunk	dusk
bust	dust
duct	dust
dusk	dust
dust	duster
dust	dusty
duster	dusty
booty	duty
dirty	duty
baffle	bashful
buy	dye
by	dye
day	dye
dye	dice
dye	dime
dye	dine
dye	dire
dye	dive
dye	dry
dying	diving
bike	dyke
dice	dyke
dick	dyke
die	dyke
dime	dyke
dine	dyke
dire	dyke
dive	dyke
dye	dyke
acid	avid
arid	avid
eagle	beagle
ball	bald
bald	balls
bald	board
bald	boiled
bald	bored
bald	build
air	ear
are	ear
ear	beer
ear	dear
ear	deer
all	earl
alley	early
earl	early
early	earlier
an	earn
earl	earn
earn	burn
and	earned
earn	earned
earned	burned
bring	earring
earl	earth
earn	earth
earth	birth
access	axis
axis	axle
early	earthy
earth	earthy
eagle	easel
east	beast
ease	easy
convenience	convenient
ease	eat
eat	beat
eat	east
cannabis	cannibal
dining	diving
dying	dining
base	bliss
bless	bliss
cab	curb
cob	curb
cub	curb
curb	curse
curb	curve
edge	edgy
audible	edible
deter	editor
edit	editor
airy	eerie
ear	eerie
air	egg
egg	beg
batter	beater
beach	beater
beaker	beater
beat	beater
beater	beaver
beater	better
beater	bitter
beater	butter
egg	eggs
eager	either
boa	both
boat	both
bone	both
both	bowl
affect	elect
effect	elect
elect	collect
affection	election
campaign	champagne
all	eel
earl	eel
ease	eel
eat	eel
eel	deal
amp	camp
amp	damp
electronic	electronics
arrogant	elegant
elegance	elegant
elegant	element
element	elements
elegant	elephant
element	elephant
elevate	elevator
alert	elite
elite	delete
embarrass	embarrassed
employee	employer
bank	blank
black	blank
and	end
any	end
earned	end
end	bend
alloy	ally
acting	active
conceive	conserve
concern	conserve
enter	center
enter	centre
accuse	amuse
epic	epoch
air	era
airy	era
aura	era
era	area
erase	eraser
bone	boner
boner	bones
boner	donor
air	error
airy	error
era	error
correction	direction
company	accompany
competition	composition
ease	eve
eat	eve
eel	eve
eon	even
error	ever
ever	every
each	beach
eat	each
evidence	evident
eagle	evil
easel	evil
even	evil
ax	ex
axe	ex
clam	cram
crab	cram
crack	cram
cram	crap
cram	crash
cram	crass
cram	cream
cram	crumb
excellence	excellent
accept	except
barber	barter
exhaust	exist
expansive	expensive
explore	explorer
adventure	adventurer
expensive	extensive
eye	aisle
eye	buy
eye	by
eye	die
eye	dye
bow	brow
brow	brown
brow	browse
blank	blink
bully	bushy
bushy	cushy
aisle	eyes
eye	eyes
eyes	arise
bag	bags
blurb	blurry
ace	face
base	face
case	face
act	fact
crane	craze
crate	craze
crave	craze
craze	crazed
craze	crazy
ad	fad
add	fad
bad	fad
dad	fad
aid	fade
aide	fade
face	fade
bag	fag
fad	fag
facet	faggot
ale	fail
bail	fail
face	fail
fade	fail
busy	dizzy
dizzy	daisy
dizzy	disease
air	fair
bear	fair
care	fair
dare	fair
fair	affair
airy	fairy
berry	fairy
bury	fairy
dairy	fairy
fair	fairy
belief	believe
face	faith
fade	faith
fail	faith
believe	believer
bake	fake
cake	fake
face	fake
fade	fake
fail	fake
faith	fake
bogus	bonus
doll	fall
atom	autumn
balls	falls
falls	false
aim	fame
face	fame
fade	fame
fail	fame
faith	fame
fake	fame
along	belong
can	clan
clack	clan
clam	clan
clan	clap
clan	clash
clan	class
clan	clean
an	fan
can	fan
fad	fan
fag	fan
bang	fang
fad	fang
fag	fang
fan	fang
are	far
bar	far
car	far
fair	far
fall	far
far	afar
far	farce
air	fare
bear	fare
care	fare
dare	fare
far	fare
fare	affair
fare	fairy
bay	bye
bow	bye
boy	bye
bye	bike
bye	bite
bye	buyer
bye	byte
bye	die
bye	dye
eye	bye
arm	farm
far	farm
farce	farm
acre	baker
farm	farmer
farmer	farther
close	closer
closer	closure
famine	fashion
beak	chic
chic	cheek
cast	fast
fact	fast
fast	facet
ash	dash
cash	dash
dad	dash
dam	dash
damn	dash
dash	dish
blah	blur
blue	blur
blur	blurb
blur	blurry
facet	fasten
famine	fasten
fashion	fasten
fasten	fastener
fast	faster
bat	fat
cat	fat
fad	fat
fag	fat
fan	fat
fang	fat
fat	fact
fat	fast
curve	curvy
curved	curvy
each	eater
eager	eater
eat	eater
eater	beater
eater	either
chunk	chunky
facial	fatal
date	fate
face	fate
fade	fate
fail	fate
faith	fate
fake	fate
fame	fate
fate	faint
bother	father
father	farther
fat	fatty
facet	faucet
falls	fault
false	fault
fault	faulty
dawn	fawn
fan	fawn
fawn	fauna
ax	fax
axe	fax
fact	fax
beer	fear
dear	fear
deer	fear
ear	fear
fair	fear
far	fear
fare	fear
bread	dread
dead	dread
dread	dress
beast	feast
east	feast
fast	feast
beat	feat
eat	feat
fat	feat
feat	feast
father	feather
be	fee
bee	fee
fee	feat
bead	feed
deed	feed
fad	feed
feat	feed
fee	feed
deal	feel
eel	feel
fall	feel
feat	feel
fee	feel
feed	feel
ceiling	feeling
falling	feeling
feeding	feeling
feeling	feelings
bell	fell
belle	fell
cell	fell
fair	fell
fall	fell
fare	fell
feel	fell
fallen	felon
felon	felony
belt	felt
fault	felt
fell	felt
aim	dame
dame	date
day	dame
dame	daze
dim	dame
dame	dime
dame	fame
email	female
dense	fence
feral	ferret
airy	ferry
berry	ferry
bury	ferry
dairy	ferry
fair	ferry
fare	ferry
beaver	fever
feed	field
feel	field
closer	clover
closure	clover
feed	fiend
field	fiend
farce	fierce
fear	fierce
fifty	fifteen
bite	fight
byte	fight
fate	fight
fiber	fighter
fight	fighter
biting	fighting
ace	eight
aid	eight
aide	eight
aim	eight
ale	eight
ape	eight
bit	eight
eight	date
eight	fate
aisle	file
fail	file
fight	file
aisle	fill
ale	fill
bill	fill
fall	fill
fear	fill
feel	fill
fell	fill
fill	fail
fill	file
build	filled
field	filled
fill	filled
fill	film
filled	film
cinema	cinnamon
fifth	filth
fill	filth
filled	filth
film	filth
filth	filthy
bin	fin
fan	fin
fawn	fin
fear	fin
fill	fin
banging	banking
bind	find
dine	fine
fight	fine
file	fine
fin	fine
fine	find
detail	detain
finch	finish
finish	finished
finish	finisher
finished	finisher
buyer	fire
fight	fire
file	fire
fine	fire
fire	fiber
fire	fighter
burger	burner
burn	burner
burned	burner
burner	burnt
blade	blaze
blame	blaze
blaze	blazer
camp	camper
bellow	below
blow	bellow
bellow	fellow
firm	affirm
burst	first
fast	first
feast	first
dish	fish
fear	fish
fill	fish
fin	fish
babe	bait
bail	bait
bait	bake
bait	base
bait	bathe
bay	bait
bait	beige
bait	beta
