abstention abstinence
bit bite
acid bitter
bitter bitterness
babble blab
black blackness
attack blast
bam blast
bang blast
blare blast
blaze blazing
baa bleat
approval blessing
babble blether
axis bloc
bar block
barricade block
block blockage
blighter bloke
blond blonde
bloom blossom
blob blot
blast blow
bloom blush
blow bluster
blow boast
bluster boast
bob bobtail
anatomy bod
beef boeuf
bluff bold
blow bollocks
bang bolt
battery bombardment
adhere bond
attach bond
bail bond
bind bond
bird boo
blunder boob
boob booby
bookie bookmaker
blast boom
blessing boon
barbarian boor
advance boost
admirer booster
bang boot
alcoholic boozer
bash bop
adopt borrow
baloney bosh
boob bosom
annoy bother
annoyance bother
arse bottom
ass bottom
backside bottom
bed bottom
behind bottom
avenue boulevard
bounce bouncing
border bound
bounce bound
bound boundary
bound bounds
boundary bounds
amplitude bounty
binge bout
arc bow
bend bow
arena bowl
bagger boxer
beau boyfriend
arouse brace
bangle bracelet
brace braces
brace bracing
blow brag
bluster brag
boast brag
boss brag
bracken brake
arm branch
blade brand
administration brass
bra brassiere
bluster bravado
assassin bravo
bash brawl
bankrupt break
better break
breach break
break breakage
breaker breakers
break breaking
breakage breaking
boob breast
bosom breast
air breeze
bandit brigand
blaze brilliance
add bring
bestow bring
alert brisk
bracing brisk
abound bristle
blanket broad
air broadcast
beam broadcast
booklet brochure
agent broker
broach brooch
abide brook
bear brook
animal brute
beast brute
babble bubble
belch bubble
brother buddy
agitate budge
budgerigar budgie
badger bug
anatomy build
bod build
bag bulge
bulge bulk
bruiser bull
bull bullshit
arse bum
ass bum
backside bum
behind bum
bottom bum
blow bumble
bollocks bumble
blow bump
break bump
bulge bump
bumf bumph
bunch bundle
blow bungle
blunder bungle
bollocks bungle
bumble bungle
beat bunk
berth bunk
bunk bunkum
arse buns
ass buns
backside buns
behind buns
bottom buns
bum buns
babble burble
bubble burble
agency bureau
authority bureau
bourgeois burgher
bite burn
burn burning
belch burp
bubble burp
abound burst
break burst
bristle burst
bearskin busby
binge bust
bout bust
break bust
burst bust
ado bustle
arse butt
ass butt
backside butt
behind butt
border butt
bottom butt
bum butt
buns butt
bunt butt
arse buttocks
ass buttocks
backside buttocks
behind buttocks
bottom buttocks
bum buttocks
buns buttocks
butt buttocks
bargain buy
bribe buy
adieu bye
abstract cabbage
bread cabbage
bar cake
account calculate
aim calculate
bet calculate
address call
anticipate call
bid call
calm calmness
agitate campaign
arse can
ass can
backside can
bathroom can
behind can
bottom can
bum can
buns can
butt can
buttocks can
bank cant
analyse canvas
analyse canvass
canvas canvass
canon canyon
capability capacity
cap capital
appropriate capture
captivate capture
auto car
automobile car
buff caramel
bill card
board card
aid care
attention care
calling career
ape caricature
carpet carpeting
bearing carriage
bearer carrier
bear carry
behave carry
barrel cask
cast casting
alter castrate
cast cat
accelerator catalyst
calamity catastrophe
apprehension catch
arrest catch
captivate catch
capture catch
caldron cauldron
campaign cause
case cause
acid caustic
bitter caustic
care caution
caries cavity
cap ceiling
basement cellar
ban censor
cardinal central
center centre
ceremonial ceremony
annoy chafe
annoyance chafe
bother chafe
chair chairman
bedroom chamber
bubbly champagne
ace champion
adept champion
admirer champion
booster champion
champ champion
backing championship
adventure chance
bump chance
alter change
alteration change
canal channel
carry channel
bedlam chaos
blighter chap
bloke chap
case character
accusation charge
accuse charge
agitate charge
appoint charge
bang charge
bearing charge
bill charge
blame charge
boot charge
buck charge
burden charge
care charge
appeal charm
captivate charm
capture charm
catch charm
char charwoman
celibacy chastity
blab chatter
cackle chatter
chat chatter
betray cheat
cheat cheater
cheat cheating
agree check
arrest check
ascertain check
assay check
break check
bridle check
brass cheek
buttock cheek
cheer cheerfulness
adieu cheerio
bye cheerio
alchemy chemistry
check cheque
cheat chess
breast chest
bureau chest
chew chewing
bird chick
boss chief
baby child
bell chime
chimp chimpanzee
check chink
bit chip
check chip
cheat chisel
check chit
alternative choice
anger choler
chop chopper
choir chorus
account chronicle
cast chuck
cat chuck
chow chuck
chortle chuckle
brother chum
buddy chum
ball chunk
boil churn
butt cigarette
breeze cinch
celluloid cinema
band circle
circle circuit
bill circular
broadcast circulate
circle circulate
circuit circumference
carnival circus
civilisation civilization
call claim
buck clam
clang clank
acclaim clap
applaud clap
bam clap
bang clap
blast clap
bones clappers
brush clash
clang clash
clank clash
brooch clasp
buckle clasp
category class
classic classical
assortment classification
class classify
article clause
blank clean
clean cleanse
cleaner cleanser
brighten clear
clean clear
adhere cleave
chopper cleaver
clasp clench
brightness cleverness
bromide cliche
chatter click
chink click
business clientele
ascent climb
climb climbing
climate clime
clamp clinch
clench clinch
adhere cling
cleave cling
chink clink
click clink
camp clique
bat clobber
batter clobber
ball clod
chunk clod
choke clog
close closing
clog clot
adorn clothe
apparel clothe
cloak clothe
apparel clothes
biff clout
buffoon clown
click cluck
ball clump
bunch clump
bundle clump
chunk clump
clod clump
clop clump
bunch cluster
bundle cluster
clump cluster
batch clutch
clasp clutch
clench clutch
clasp clutches
clench clutches
clutch clutches
bus coach
carriage coach
clot coagulate
char coal
blend coalesce
cake coat
cajole coax
chocolate cocoa
coco coconut
bait cod
chocolate coffee
casket coffin
arrange coif
blow coke
cold coldness
break collapse
burst collapse
apprehend collar
apprehension collar
arrest collar
catch collar
accumulate collect
amass collect
cod collect
accumulation collection
appeal collection
collecting collection
clash collide
color colour
colors colours
battle combat
aggregate combine
blend combine
coalesce combine
amount come
arrive come
arrival comer
amenities comforts
comedian comic
advent coming
approach coming
climax coming
bid command
bidding command
commandant commander
begin commence
annotate comment
comment commentary
charge commission
charge commit
commission committee
common commons
commune communicate
communicating communication
commie communist
bundle compact
associate companion
caller company
companion company
companionship company
compare comparison
comparing comparison
apprehend compass
accumulate compile
amass compile
collect compile
ailment complaint
charge complaint
closing completion
compile compose
colonial compound
combine compound
apprehend comprehend
compass comprehend
compact compress
be comprise
calculation computation
calculate compute
calculation computing
computation computing
associate comrade
brother comrade
companion comrade
concealing concealment
believe conceive
center concentrate
centre concentrate
absorption concentration
concept conception
business concern
care concern
close conclude
close conclusion
closing conclusion
accord concord
agree concord
agreement concord
concord concordance
agree concur
coincide concur
concord concur
capsule condensation
compression condensation
capacitor condenser
check condition
circumstance condition
bear conduct
behave conduct
behavior conduct
behaviour conduct
carry conduct
channel conduct
concede confess
commit confide
assurance confidence
authority confidence
bound confine
circumscribe confine
affirm confirm
battle conflict
adapt conform
adjust conform
accord conformity
accordance conformity
blur confuse
compliment congratulate
coitus congress
coincidence conjunction
arouse conjure
beseech conjure
bid conjure
conjurer conjuror
associate connect
association connection
appropriate conquer
capture conquer
awareness consciousness
accept consent
aftermath consequence
bourgeois conservative
cautious conservative
believe consider
conceive consider
circumstance consideration
condition consideration
comprise consist
comfort consolation
cabinet console
comfort console
conjure conspire
configuration constellation
alarm consternation
composition constitution
build construct
concept construct
conception construct
building construction
advisor consultant
arrest contain
bear contain
carry contain
check contain
comprise contain
argue contend
compete contend
capacity content
argument contention
competition contention
competition contest
contend contest
celibate continent
configuration contour
black contraband
abridge contract
compact contract
compress contract
concentrate contract
compression contraction
condensation contraction
ascertain control
check control
command control
contain control
accountant controller
control controller
argument controversy
contention controversy
appliance convenience
amenities conveniences
comforts conveniences
change convert
bring convey
carry convey
channel convey
communicate convey
conduct convey
con convict
condemnation conviction
convert convince
biscuit cookie
cookery cooking
chill cool
chilling cooling
coldness coolness
cage coop
apprehend cop
arrest cop
bull cop
collar cop
contend cope
bull copper
cop copper
coitus copulation
congress copulation
cord corduroy
burden core
center core
centre core
bob cork
box corner
clay corpse
adjust correct
chastise correct
compensate correct
agree correspond
check correspond
agreement correspondence
balance correspondence
bribe corrupt
buy corrupt
cloud corrupt
cos cosine
astronaut cosmonaut
be cost
bungalow cottage
cast couch
cough coughing
advise counsel
advocate counsel
bet count
calculate count
consider count
allow countenance
anticipate counter
comeback counter
bedspread counterpane
contrast counterpoint
count counting
area country
commonwealth country
brace couple
copulate couple
bravery courage
class course
court courtroom
address cover
back cover
binding cover
blanket cover
breed cover
brood cover
compensate cover
comprehend cover
concealment cover
continue cover
application covering
cover covering
cowboy cowherd
bonnet cowl
cattle cows
cosy cozy
beef crab
bitch crab
ace crack
break crack
chap crack
check crack
cleft crack
collapse crack
banger cracker
bully cracking
crack cracking
artisan craftsman
bone cram
chalk crank
chap cranny
crack cranny
bull crap
bullshit crap
clang crash
clank crash
clash crash
collapse crash
cower crawl
crawl crawling
bat cream
clobber cream
bend crease
conception creation
cosmos creation
animal creature
beast creature
brute creature
credo creed
brook creek
cower creep
crawl creep
crawling creep
crawler creeper
crawl creeping
crawling creeping
creep creeping
cap crest
changeling cretin
bunch crew
cot crib
blush crimson
cherry crimson
cower cringe
crawl cringe
creep cringe
crease crinkle
chip crisp
crease crisp
crinkle crisp
criticise criticize
choke croak
bend crook
criminal crook
browse crop
clip crop
baffle cross
cover cross
cross crossing
bend crouch
bow crouch
brag crow
bunch crowd
crew crowd
cap crown
crest crown
blast crucify
blunt crude
bum crumb
collapse crumble
buckle crumple
cockle crumple
collapse crumple
crease crumple
crinkle crumple
crumble crumple
bray crunch
crackle crunch
beat crush
crunch crush
call cry
block cube
booth cubicle
cell cubicle
betray cuckold
cheat cuckold
chew cud
clue cue
craze cult
crop cultivate
civilisation culture
civilization culture
come cum
craft cunning
bitch cunt
closet cupboard
bridle curb
check curb
conquer curb
contain curb
control curb
coil curl
blaspheme curse
condemnation curse
bob curtsy
arc curve
arch curve
bend curve
bender curve
crook curve
curl curve
blaspheme cuss
blighter cuss
bloke cuss
chap cuss
curse cuss
client customer
custom customs
abridge cut
burn cut
contract cut
curve cut
carver cutter
cutlery cutter
carving cutting
cut cutting
bicycle cycle
bike cycle
dad dada
dad daddy
dada daddy
butterfly dally
amends damages
bird dame
chick dame
blame damn
bloody damn
curse damn
blame damned
damn damned
break damp
break dampen
damp dampen
damp dampness
dance dancing
beau dandy
bully dandy
cracking dandy
dare daring
black dark
blue dark
dark darkness
darkie darky
beloved darling
damn darn
bolt dash
crash dash
dart dash
appointment date
blot daub
dally dawdle
click dawn
dawn dawning
day daylight
daze dazzle
beat dead
address deal
allot deal
bargain deal
batch deal
care deal
conduct deal
consider deal
contend deal
cope deal
cover deal
beloved dear
darling dear
beloved dearest
dear dearest
darling dearie
darling deary
dearie deary
adulterate debase
alloy debase
corrupt debase
argue debate
argument debate
consider debate
contend debate
crumble decay
choke decease
croak decease
death decease
betray deceive
deceit deception
conclusion decision
adorn deck
announcement declaration
contract declaration
announce declare
dec declination
declension declination
correct decline
decay decline
declension decline
declination decline
adorn decorate
deck decorate
allegiance dedication
deduce deduct
act deed
bass deep
blemish deface
blemish defect
champion defend
defence defense
bow defer
cloud defile
corrupt defile
bending deflection
bend deform
dare defy
check delay
cancel delete
consider deliberate
debate deliberate
calculation deliberation
dainty delicacy
bear deliver
birth deliver
ask demand
death demise
commonwealth democracy
crush demolish
demo demonstrate
demo demonstration
defence denial
defense denial
betray denounce
brand denounce
concentration density
bare denude
deceased departed
bet depend
calculate depend
count depend
behavior deportment
behaviour deportment
conduct deportment
bank deposit
corruption depravity
deject depress
astuteness depth
bowler derby
delinquent derelict
come derive
deduce derive
deduct derive
come descend
derive descend
blood descent
declension descent
declination descent
decline descent
account describe
abandon desert
defect desert
aim design
conception design
architect designer
abstain desist
abandon desolate
bare desolate
barren desolate
desert desolate
communique despatch
despair desperation
contempt despite
autocrat despot
afters dessert
address destination
circumstances destiny
demolish destroy
destroy destruct
death destruction
demolition destruction
confine detain
delay detain
catching detection
custody detention
deciding determinant
conclusion determination
decision determination
ascertain determine
check determine
decide determine
define determine
check deterrent
desolation devastation
destruction devastation
acquire develop
arise develop
break develop
degenerate deviant
degenerate deviate
depart deviate
deviant deviate
deflection deviation
departure deviation
deviance deviation
annoy devil
bother devil
chafe devil
demon devil
consume devour
bias diagonal
accent dialect
cube dice
cock dick
devil dickens
authoritarian dictator
con diddle
break die
choke die
croak die
decease die
dice die
conflict difference
departure difference
deviation difference
broadcast diffuse
circulate diffuse
apprehend dig
barb dig
compass dig
comprehend dig
delve dig
abide digest
bear digest
brook digest
concentrate digest
dig digging
butch dike
dam dike
adulterate dilute
cut dilute
debase dilute
black dim
blind dim
blur dim
attribute dimension
belittle diminish
decrease diminish
blare din
boom din
commotion din
dent ding
dell dingle
dim dip
delicacy diplomacy
address direct
aim direct
calculate direct
conduct direct
charge direction
commission direction
counsel direction
conductor director
crap dirt
cheating dirty
differ disagree
confusion disarray
calamity disaster
catastrophe disaster
arc discharge
clear discharge
complete discharge
check discipline
condition discipline
correct discipline
correction discipline
break disclose
color discolour
colour discolour
break discontinue
cease discontinue
disagree discord
disco discotheque
deduction discount
deter discourage
attain discover
break discover
describe discover
detect discover
disclose discover
breakthrough discovery
disbelieve discredit
delicacy discretion
contempt disdain
despise disdain
despite disdain
blemish disfigure
deface disfigure
degrade disgrace
discredit disgrace
camouflage disguise
bag dish
beauty dish
assault dishonor
disgrace dishonor
assault dishonour
disgrace dishonour
dishonor dishonour
decay disintegrate
disjoin disjoint
disc disk
disapproval dislike
alarm dismay
consternation dismay
deject dismay
depress dismay
can dismiss
discount dismiss
disarray disorder
disinherit disown
belittle disparage
communique dispatch
complete dispatch
despatch dispatch
discharge dispatch
allot dispense
deal dispense
broadcast disperse
circulate disperse
diffuse disperse
dispel disperse
can displace
dismiss displace
administration disposal
discard dispose
disposal disposition
challenge dispute
conflict dispute
difference dispute
disorder disquiet
cut disregard
discount disregard
dismiss disregard
contempt disrespect
analyse dissect
differ dissent
disagree dissent
disjoint dissociate
dismiss dissolve
deter dissuade
antipathy distaste
aversion distaste
describe distinguish
discern distinguish
discover distinguish
disorder distract
disquiet distract
allot distribute
broadcast distribute
circulate distribute
deal distribute
diffuse distribute
dispense distribute
disperse distribute
agitate disturb
commotion disturbance
chuck ditch
depart diverge
deviate diverge
deflection diversion
deviation diversion
cleric divine
dive diving
deity divinity
class division
disjoint divorce
dissociate divorce
act do
answer do
arrange do
bash do
behave do
brawl do
cause do
coif do
come do
bob dock
bobtail dock
bushel doctor
doc doctor
actor doer
cad dog
chase dog
click dog
do doh
behavior doings
behaviour doings
conduct doings
bird doll
chick doll
dame doll
buck dollar
clam dollar
doll dolly
area domain
arena domain
attic dome
bean dome
command dominate
district dominion
assume don
ding dong
condemn doom
damned doomed
bell doorbell
door doorway
boob dope
booby dope
cola dope
acid dose
acid dot
disperse dot
dit dot
dose dot
bread dough
cabbage dough
dip douse
blue down
consume down
devour down
blue downcast
down downcast
blue drab
dark drab
conscription draft
cart drag
drain drainage
cloak drape
clothe drape
curtain drape
draft draught
absorb draw
attract draw
attraction draw
cast draw
describe draw
drag draw
bloomers drawers
boxers drawers
draft drawing
draught drawing
apprehension dread
ambition dream
aspiration dream
daydream dream
dream dreaming
douse drench
apparel dress
arrange dress
attire dress
clip dress
clothe dress
clothes dress
coif dress
crop dress
curry dress
decorate dress
do dress
bureau dresser
chest dresser
binding dressing
carry dribble
blow drift
cast drift
bore drill
boring drilling
beverage drink
booze drink
drink drinking
dribble drip
drip dripping
aim drive
campaign drive
cause drive
dribble drivel
drive driving
baloney drool
bosh drool
dribble drool
drivel drool
bead drop
cast drop
cliff drop
dangle drop
degenerate drop
dip drop
discharge drop
dismiss drop
drib drop
dribble drop
drip drop
dig drudge
dose drug
barrel drum
beat drum
bone drum
cram drum
drunk drunkard
alcoholism drunkenness
drink drunkenness
drinking drunkenness
drier dryer
dip duck
dodge duck
douse duck
darling ducky
dearie ducky
deary ducky
canal duct
channel duct
bomb dud
beau dude
buster dude
dandy dude
brace duet
couple duet
blunt dull
boring dull
damp dull
dampen dull
dim dull
blank dummy
boob dummy
booby dummy
dope dummy
deck dump
ditch dump
crucify dun
droppings dung
dip dunk
douse dunk
brace duo
couple duo
duet duo
cod dupe
double duplicate
disperse dust
dot dust
brood dwell
consist dwell
abode dwelling
death dying
demise dying
butch dyke
dam dyke
dike dyke
active dynamic
bore eager
auricle ear
clear earn
dear earnest
allay ease
comfort ease
ease easiness
consume eat
corrode eat
chow eats
chuck eats
case eccentric
character eccentric
dominate eclipse
border edge
bound edge
boundary edge
butt edge
decree edict
building edifice
cut edit
delete edit
cultivate educate
develop educate
breeding education
burden effect
consequence effect
core effect
attempt effort
campaign effort
cause effort
drive effort
ball egg
egg eggs
egocentric egoist
egoist egotist
blunder ejaculate
come ejaculate
cum ejaculate
discharge eject
dilate elaborate
ardour elan
dash elan
aged elderly
chosen elect
advance elevate
el elevated
acme elevation
altitude elevation
brownie elf
annihilate eliminate
elect elite
clarify elucidate
clear elucidate
block embarrass
coal ember
allegory emblem
adopt embrace
bosom embrace
comprehend embrace
cover embrace
egress emerge
discharge emission
breathe emit
accent emphasis
accent emphasize
accentuate emphasize
apply employ
employ employment
abandon empty
discharge empty
circle encircle
confine enclose
brush encounter
bump encounter
chance encounter
clash encounter
advance encourage
boost encourage
cease end
close end
closing end
conclusion end
death end
destruction end
attempt endeavour
effort endeavour
close ending
closing ending
conclusion ending
end ending
blurb endorsement
countenance endorsement
abide endure
bear endure
brave endure
brook endure
digest endure
drain enfeeble
apply enforce
absorb engage
charter engage
employ engage
appointment engagement
battle engagement
conflict engagement
date engagement
employment engagement
direct engineer
absorb engulf
delight enjoy
dilate enlarge
elaborate enlarge
clear enlighten
elucidate enlighten
draft enlist
engage enlist
antagonism enmity
boredom ennui
ask enquire
enrol enroll
ascertain ensure
check ensure
control ensure
enrol enter
enroll enter
endeavour enterprise
amusement entertainment
captivate entrance
capture entrance
catch entrance
charm entrance
entering entrance
entering entry
entrance entry
environment environs
be equal
compare equate
correspond equate
equal equate
equality equation
balance equilibrium
epoch era
annihilate eradicate
eliminate eradicate
delete erase
erecting erection
corrosion erosion
drift err
belch erupt
break erupt
burst erupt
bam eruption
bang eruption
blast eruption
clap eruption
bunk escape
escape escapism
date escort
assay essay
attempt essay
burden essence
center essence
centre essence
core essence
effect essence
base establish
build establish
demonstrate establish
administration establishment
brass establishment
constitution establishment
acres estate
admiration esteem
appraisal estimate
approximate estimate
calculate estimate
alien estrange
alienate estrange
bunsen etna
castrate eunuch
dodge evade
duck evade
assess evaluate
disappear evaporate
escape evasion
eve even
eve evening
even evening
case event
consequence event
effect event
complete everlasting
demonstrate evidence
development evolution
acquire evolve
develop evolve
antique ex
claim exact
demand exact
exam examination
analyse examine
canvas examine
canvass examine
essay examine
case example
dig excavate
dig excavation
digging excavation
digger excavator
central exchange
change exchange
convert exchange
agitate excite
arouse excite
charge excite
agitation excitement
excitation excitement
cry exclaim
bar exclude
eject exclude
except exclude
censure exclusion
ejection exclusion
exception exclusion
excrement excreta
eliminate excrete
elimination excretion
excrement excretion
excreta excretion
alibi excuse
apologize excuse
apology excuse
accomplish execute
action execute
do execute
excuse exempt
do exercise
drill exercise
employment exercise
example exercise
effort exertion
beat exhaust
consume exhaust
discharge exhaust
eat exhaust
eject exhaust
excitement exhilaration
cheer exhort
be exist
being existence
cosmos existence
creation existence
choke exit
croak exit
decease exit
departure exit
die exit
amplify expand
boom expand
dilate expand
elaborate expand
enlarge expand
area expanse
anticipate expect
ask expect
await expect
bear expect
carry expect
anticipation expectation
despatch expedition
dispatch expedition
excursion expedition
discharge expel
eject expel
exhaust expel
consumption expenditure
adept expert
choke expire
croak expire
decease expire
die expire
exhale expire
exit expire
excuse explain
account explanation
burst explode
effort exploit
development exploitation
burst explosion
break expose
disclose expose
discover expose
display expose
endanger expose
dilate expound
elaborate expound
enlarge expound
expand expound
carry express
convey express
aspect expression
construction expression
ejection expulsion
exclusion expulsion
carry extend
continue extend
cover extend
expand extend
eradicate exterminate
annihilate extinguish
eliminate extinguish
eradicate extinguish
duplicate extra
excess extra
distill extract
excerpt extract
express extract
center eye
centre eye
eye eyeball
brow eyebrow
allegory fable
cloth fabric
construct fabricate
aspect face
brass face
case face
cheek face
confront face
expression face
aspect facet
agent factor
broker factor
element factor
craze fad
cult fad
disappearance fade
dejection faeces
butt fag
cigarette fag
dig fag
drudge fag
betray fail
bomb fail
break fail
die fail
dim faint
average fair
bazaar fair
carnival fair
clean fair
fag fairy
close faithful
congregation faithful
bastard fake
bull fake
bullshit fake
cook fake
counterfeit fake
accrue fall
autumn fall
come fall
declension fall
declination fall
decline fall
decrease fall
descend fall
descent fall
diminish fall
dip fall
downfall fall
drop fall
dusk fall
alter falsify
cook falsify
fake falsify
falsehood falsity
bumble falter
celebrity fame
associate familiar
companion familiar
comrade familiar
category family
class family
dearth famine
buff fan
enthusiast fancier
arse fanny
ass fanny
backside fanny
behind fanny
bottom fanny
bum fanny
buns fanny
butt fanny
buttocks fanny
can fanny
fancy fantasy
come fare
do fare
agriculture farming
fart farting
enchantment fascination
degenerate fast
fast fasting
blubber fat
circumstances fate
destiny fate
doom fate
beginner father
don father
bottom fathom
fag fatigue
blubber fatness
fat fatness
fat fatten
fat fatty
blame fault
break fault
defect fault
demerit fault
error fault
darling favourite
dearie favourite
deary favourite
ducky favourite
cower fawn
crawl fawn
creep fawn
cringe fawn
dun fawn
fairy fay
awe fear
care fear
concern fear
dread fear
banquet feast
effort feat
exploit feat
boast feature
characteristic feature
bung fee
course feed
eat feed
feast feed
affluent feeder
eater feeder
eating feeding
experience feel
advance feeler
antenna feeler
approach feeler
belief feeling
feel feeling
congratulate felicitate
drop fell
blighter fella
bloke fella
chap fella
cuss fella
blighter feller
bloke feller
chap feller
cuss feller
fella feller
associate fellow
beau fellow
blighter fellow
bloke fellow
boyfriend fellow
buster fellow
chap fellow
colleague fellow
companion fellow
comrade fellow
cuss fellow
dude fellow
familiar fellow
fella fellow
feller fellow
companionship fellowship
company fellowship
family fellowship
criminal felon
crook felon
argue fence
contend fence
debate fence
fence fencing
agitation ferment
feed fertilise
fecundity fertility
fertiliser fertilizer
ardour fervour
excitation fervour
excitement fervour
celebration festivity
bring fetch
convey fetch
celebrate fete
feast fete
festival fete
character fibre
fable fiction
diddle fiddle
faithfulness fidelity
airfield field
area field
arena field
discipline field
domain field
demon fiend
devil fiend
fanatic fiend
feast fiesta
fete fiesta
agitate fight
battle fight
campaign fight
combat fight
conflict fight
contend fight
defend fight
engagement fight
belligerent fighter
champion fighter
active fighting
combat fighting
fight fighting
anatomy figure
bod figure
build figure
calculate figure
compute figure
design figure
digit figure
enter figure
estimate figure
fancy figure
fig figure
charge file
fill filling
celluloid film
cinema film
dribble filter
dirt filth
close finale
conclusion finale
ascertain find
breakthrough find
bump find
chance find
detect find
determine find
discover find
discovery find
encounter find
feel find
discoverer finder
determination finding
digit finger
feel finger
close finis
conclusion finis
finale finis
cease finish
close finish
complete finish
conclusion finish
culture finish
destination finish
end finish
ending finish
finale finish
finis finish
finish finishing
ardour fire
arouse fire
attack fire
blast fire
burn fire
can fire
discharge fire
dismiss fire
displace fire
fervour fire
discharge firing
fire firing
fast firm
beginning first
angle fish
fisher fisherman
chap fissure
cleft fissure
crack fissure
cranny fissure
agree fit
burst fit
check fit
convulsion fit
correspond fit
accommodation fitting
adjustment fitting
appointment fitting
fin five
bushel fix
cook fix
define fix
deposit fix
determine fix
doctor fix
fasten fix
fastener fixing
fix fixing
fixation fixing
bust fizzle
droop flag
dash flair
elan flair
bit flake
chip flake
eccentric flake
fire flame
beat flap
dither flap
flap flapping
flap flaps
erupt flare
flair flare
flame flare
blink flash
dart flash
dash flash
fanfare flash
flare flash
flash flashing
apartment flat
drop flatten
feel flavor
feeling flavor
feel flavour
feeling flavour
flavor flavour
blemish flaw
defect flaw
fault flaw
dart fleet
fade fleet
anatomy flesh
bod flesh
build flesh
figure flesh
bend flex
deform flex
bend flexure
crease flexure
click flick
film flick
flick flicker
airman flier
aviator flier
bill flier
circular flier
escape flight
cringe flinch
crack fling
discard fling
dispose fling
alternate flip
flick flip
fin flipper
butterfly flirt
dally flirt
dart flit
fleet flit
flicker flitter
blow float
drift float
drifting floating
batch flock
clump flock
cluster flock
deal flock
cane flog
deluge flood
base floor
deck floor
dump floor
floor flooring
bust flop
collapse flop
dud flop
fizzle flop
botany flora
boom flourish
brandish flourish
expand flourish
fanfare flourish
course flow
current flow
fall flow
feed flow
bloom flower
blossom flower
flow flowing
blow fluff
bollocks fluff
bumble fluff
bungle fluff
flue fluke
bomb flunk
fail flunk
failing flunk
ado flurry
bustle flurry
confuse flurry
affluent flush
bang flush
bloom flush
blossom flush
blush flush
boot flush
charge flush
crimson flush
even flush
flower flush
bat flutter
commotion flutter
dart flutter
disturbance flutter
flap flutter
flapping flutter
fleet flutter
flicker flutter
flit flutter
flitter flutter
blend flux
coalesce flux
combine flux
flow flux
fell fly
flee fly
airman flyer
aviator flyer
bill flyer
circular flyer
flier flyer
fast flying
flight flying
fizz foam
center focus
centre focus
concentrate focus
direction focus
enemy foe
cloud fog
daze fog
baffle foil
cross foil
bend fold
close fold
congregation fold
crease fold
faithful fold
flexure fold
flock fold
booklet folder
brochure folder
fold folding
family folk
folk folks
adopt follow
be follow
come follow
comply follow
chase following
caress fondle
caressing fondling
affection fondness
fancy fondness
chump fool
cod fool
dupe fool
folly foolery
folly foolishness
base foot
beau fop
dandy fop
dude fop
disallow forbid
coerce force
draw force
drive force
effect force
crossing ford
bow fore
calculate forecast
estimate forecast
figure forecast
brow forehead
alien foreigner
boss foreman
chief foreman
anticipate foresee
counter foresee
announce foretell
anticipate foretell
call foretell
forecast foretell
counterfeit forge
devise forge
fake forge
fashion forge
counterfeit forgery
block forget
bury forget
branch fork
crotch fork
anatomy form
bod form
build form
cast form
class form
configuration form
contour form
course form
figure form
flesh form
forge form
ball formal
arrange format
constitution formation
establishment formation
convention formula
expression formula
adultery fornication
abandon forsake
desert forsake
desolate forsake
arm fortify
fort fortify
fort fortress
chance fortune
circumstances fortune
